,User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
0,1,25,Female,Instagram,120.0,3.0,45.0,10.0,12.0,Happiness
1,2,30,Male,Twitter,90.0,5.0,20.0,25.0,30.0,Anger
2,3,22,Non-binary,Facebook,60.0,2.0,15.0,5.0,20.0,Neutral
3,4,28,Female,Instagram,200.0,8.0,100.0,30.0,50.0,Anxiety
4,5,33,Male,LinkedIn,45.0,1.0,5.0,2.0,10.0,Boredom
5,6,21,Male,Instagram,150.0,4.0,60.0,15.0,25.0,Happiness
6,7,27,Female,Twitter,85.0,3.0,30.0,10.0,18.0,Anger
7,8,24,Non-binary,Facebook,110.0,6.0,25.0,12.0,22.0,Sadness
8,9,29,Female,LinkedIn,55.0,2.0,10.0,3.0,8.0,Neutral
9,10,31,Male,Instagram,170.0,5.0,80.0,20.0,35.0,Happiness
10,11,23,Female,Twitter,75.0,4.0,35.0,7.0,20.0,Anxiety
11,12,26,Non-binary,Facebook,95.0,3.0,20.0,10.0,18.0,Sadness
12,13,34,Male,LinkedIn,65.0,1.0,12.0,4.0,15.0,Boredom
13,14,22,Female,Instagram,180.0,7.0,90.0,25.0,40.0,Happiness
14,15,28,Male,Twitter,100.0,6.0,40.0,23.0,28.0,Anger
15,16,21,Non-binary,Facebook,40.0,1.0,5.0,2.0,10.0,Neutral
16,17,35,Female,Instagram,125.0,4.0,55.0,18.0,30.0,Anxiety
17,18,27,Male,Twitter,90.0,3.0,33.0,15.0,25.0,Sadness
18,19,23,Non-binary,LinkedIn,50.0,1.0,8.0,3.0,12.0,Neutral
19,20,32,Female,Instagram,140.0,5.0,70.0,22.0,33.0,Happiness
20,21,26,Male,Facebook,75.0,2.0,25.0,10.0,18.0,Anxiety
21,22,24,Female,Twitter,105.0,4.0,28.0,14.0,20.0,Anger
22,23,29,Male,LinkedIn,60.0,2.0,11.0,5.0,17.0,Boredom
23,24,33,Non-binary,Instagram,190.0,8.0,95.0,26.0,45.0,Happiness
24,25,22,Female,Twitter,70.0,3.0,20.0,12.0,15.0,Sadness
25,26,31,Male,Facebook,80.0,2.0,18.0,8.0,21.0,Neutral
26,27,27,Non-binary,LinkedIn,55.0,1.0,9.0,2.0,11.0,Anxiety
27,28,25,Female,Instagram,160.0,6.0,85.0,19.0,32.0,Happiness
28,29,30,Male,Twitter,90.0,4.0,38.0,17.0,24.0,Anger
29,30,26,Non-binary,Facebook,45.0,1.0,6.0,3.0,10.0,Sadness
30,31,34,Female,LinkedIn,65.0,2.0,13.0,4.0,14.0,Boredom
31,32,28,Male,Instagram,145.0,5.0,75.0,20.0,35.0,Happiness
32,33,23,Non-binary,Twitter,70.0,3.0,27.0,11.0,18.0,Neutral
33,34,21,Female,Instagram,130.0,6.0,88.0,15.0,30.0,Sadness
34,35,29,Male,Facebook,65.0,2.0,22.0,8.0,20.0,Anxiety
35,36,24,Non-binary,LinkedIn,55.0,1.0,10.0,5.0,11.0,Boredom
36,37,33,Female,Instagram,170.0,7.0,90.0,25.0,40.0,Happiness
37,38,27,Male,Twitter,85.0,4.0,35.0,15.0,20.0,Anger
38,39,22,Female,Instagram,115.0,3.0,55.0,12.0,25.0,Neutral
39,40,28,Non-binary,Facebook,100.0,2.0,18.0,10.0,22.0,Anxiety
40,41,31,Male,LinkedIn,45.0,1.0,6.0,2.0,9.0,Sadness
41,42,25,Female,Instagram,150.0,6.0,80.0,18.0,30.0,Happiness
42,43,29,Male,Twitter,95.0,4.0,40.0,20.0,22.0,Anger
43,44,23,Non-binary,Facebook,105.0,2.0,20.0,8.0,18.0,Neutral
44,45,35,Female,LinkedIn,60.0,1.0,12.0,5.0,14.0,Boredom
45,46,30,Male,Instagram,175.0,7.0,85.0,23.0,38.0,Happiness
46,47,21,Female,Twitter,90.0,3.0,33.0,12.0,20.0,Sadness
47,48,26,Non-binary,Facebook,75.0,2.0,28.0,11.0,18.0,Anxiety
48,49,32,Male,Instagram,130.0,5.0,70.0,19.0,31.0,Neutral
49,50,28,Female,LinkedIn,55.0,1.0,8.0,4.0,10.0,Boredom
50,51,27,Male,Instagram,165.0,6.0,78.0,22.0,27.0,Happiness
51,52,24,Female,Twitter,75.0,3.0,29.0,15.0,19.0,Anger
52,53,29,Non-binary,Facebook,85.0,2.0,25.0,7.0,20.0,Neutral
53,54,33,Female,Instagram,145.0,4.0,60.0,18.0,35.0,Sadness
54,55,31,Male,LinkedIn,60.0,1.0,10.0,3.0,17.0,Anxiety
55,56,22,Female,Whatsapp,70.0,2.0,40.0,8.0,21.0,Anxiety
56,57,25,Male,Telegram,90.0,3.0,20.0,10.0,22.0,Boredom
57,58,29,Non-binary,Snapchat,50.0,2.0,15.0,5.0,18.0,Sadness
58,59,28,Female,Twitter,95.0,4.0,45.0,20.0,25.0,Happiness
